key	es
# COMMON
common.back	ATRAS
common.continue	CONTINUAR
common.cancel	CANCELAR
common.ok	OK
common.on	SI
common.off	NO
common.na	N/D
common.none	NINGUNO
common.versus	V
common.page	PAGINA
common.previous_page	PAGINA ANTERIOR
common.next_page	PAGINA SIGUIENTE
common.no_career_data	SIN DATOS CARRERA
common.no_squad_data	SIN DATOS PLANTILLA
common.player_not_available	JUGADOR NO DISPONIBLE
common.player	JUGADOR
common.budget	PRESUPUESTO
common.sort	ORDENAR
common.sort_by	ORDENAR POR
common.value	VALOR
common.skill	HABILIDAD
common.age	EDAD
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POS
col.team	EQUIPO
col.name	NOMBRE
col.number	N
col.number_hash	#
col.p	J
col.w	G
col.d	E
col.l	P
col.gf	GF
col.ga	GC
col.pts	PTS
col.skl	HAB
col.skill	HAB
col.pot	POT
col.sta	RES
col.form	F
col.fit	FIS
col.val	VAL
col.nat	NAC
col.club	CLUB
col.price	PRECIO
col.spec	ESP
col.quality	C
col.wage	SUELDO
col.fee	PRIMA
col.amount	IMPORTE
col.exp	EXP
col.skill_row	PA EN TI CA CO VE DE
# HOME
home.title	O P E N   S W O S
home.play_match	JUGAR PARTIDO
home.competitions	COMPETICIONES
home.multiplayer	MULTIJUGADOR
home.team_setup	CONFIG EQUIPO
home.options	OPCIONES
home.career	CARRERA
home.exit	SALIR
home.credit	POR GRZEGORZ KORYCKI
home.continue_prefix	CONTINUAR:
# QUIT
quit.title	SALIR
quit.are_you_sure	SEGURO?
quit.quit_to_windows	SALIR A WINDOWS
quit.return_to_game	VOLVER AL JUEGO
# FRIENDLY
friendly.title	PARTIDO AMISTOSO
friendly.home	LOCAL
friendly.away	VISITANTE
friendly.swap_teams	CAMBIAR EQUIPOS
friendly.pitch	CAMPO
friendly.opponent	RIVAL
friendly.half_length	DURACION PARTE
friendly.game_speed	VELOCIDAD JUEGO
friendly.kick_off	COMENZAR
friendly.context	AMISTOSO
# VERSUS
versus.play	JUGAR
versus.view_result	VER RESULTADO
# STADIUM
stadium.title	EQUIPOS
stadium.kick_off	COMENZAR
stadium.edit_lineup	EDITAR ALINEACION
# OPTIONS
opt.title	OPCIONES
opt.page	PAGINA
opt.language	IDIOMA
opt.half_length	DURACION PARTE
opt.game_speed	VELOCIDAD JUEGO
opt.opponent	RIVAL
opt.pitch	CAMPO
opt.skill_scaling	ESCALA HABILIDAD
opt.skill_scaling_hint	ESCALA HABILIDAD POR PRECIO FIEL A SWOS
opt.all_teams_equal	TODOS EQUIPOS IGUALES
opt.all_teams_equal_hint	IGUALA FUERZA DE EQUIPOS DE JUGADORES
opt.pre_match_menus	MENUS PRE PARTIDO
opt.player_fatigue	FATIGA JUGADOR
opt.energy_bar	BARRA ENERGIA
opt.music	MUSICA
opt.music_hint	MUSICA MENU AMIGA / PC / PERSONAL
opt.sound	SONIDO
opt.sound_hint	SONIDOS DE PARTIDO PC O AMIGA
opt.display	PANTALLA
