key	it
# COMMON
common.back	INDIETRO
common.continue	CONTINUA
common.cancel	ANNULLA
common.ok	OK
common.on	SI
common.off	NO
common.na	N/D
common.none	NESSUNO
common.versus	V
common.page	PAG
common.previous_page	PAGINA PRECEDENTE
common.next_page	PAGINA SUCCESSIVA
common.no_career_data	NESSUN DATO CARRIERA
common.no_squad_data	NESSUN DATO ROSA
common.player_not_available	GIOCATORE NON DISPONIBILE
common.player	GIOCATORE
common.budget	BUDGET
common.sort	ORDINA
common.sort_by	ORDINA PER
common.value	VALORE
common.skill	ABILITA
common.age	ETA
common.money_thousands_suffix	K
common.money_millions_suffix	M
# TABLE COLUMN HEADERS
col.pos	POS
col.team	SQUADRA
col.name	NOME
col.number	N
col.number_hash	#
col.p	G
col.w	V
col.d	N
col.l	P
col.gf	GF
col.ga	GS
col.pts	PT
col.skl	ABL
col.skill	ABIL
col.pot	POT
col.sta	RES
col.form	F
col.fit	FIS
col.val	VAL
col.nat	NAZ
col.club	CLUB
col.price	PREZZO
col.spec	SPEC
col.quality	Q
col.wage	PAGA
col.fee	COSTO
col.amount	IMPORTO
col.exp	SCAD
col.skill_row	PA CO TI CT CN VE FN
# HOME
home.title	O P E N   S W O S
home.play_match	GIOCA PARTITA
home.competitions	COMPETIZIONI
home.multiplayer	MULTIGIOCATORE
home.team_setup	IMPOSTA SQUADRA
home.options	OPZIONI
home.career	CARRIERA
home.exit	ESCI
home.credit	DI GRZEGORZ KORYCKI
home.continue_prefix	CONTINUA:
# QUIT
quit.title	ESCI
quit.are_you_sure	SEI SICURO?
quit.quit_to_windows	ESCI A WINDOWS
quit.return_to_game	TORNA AL GIOCO
# FRIENDLY
friendly.title	AMICHEVOLE
friendly.home	CASA
friendly.away	OSPITE
friendly.swap_teams	SCAMBIA SQUADRE
friendly.pitch	CAMPO
friendly.opponent	AVVERSARIO
friendly.half_length	DURATA TEMPO
friendly.game_speed	VELOCITA GIOCO
friendly.kick_off	CALCIO INIZIO
friendly.context	AMICHEVOLE
# VERSUS
versus.play	GIOCA
versus.view_result	VEDI RISULTATO
# STADIUM
stadium.title	SQUADRE
stadium.kick_off	CALCIO INIZIO
stadium.edit_lineup	MODIFICA FORMAZIONE
# OPTIONS
opt.title	OPZIONI
opt.page	PAG
opt.language	LINGUA
opt.half_length	DURATA TEMPO
opt.game_speed	VELOCITA GIOCO
opt.opponent	AVVERSARIO
opt.pitch	CAMPO
opt.skill_scaling	SCALA ABILITA
opt.skill_scaling_hint	SCALA PREZZO ABILITA FEDELE A SWOS
opt.all_teams_equal	SQUADRE PARI
opt.all_teams_equal_hint	PAREGGIA FORZA SQUADRE DEI GIOCATORI
opt.pre_match_menus	MENU PRE PARTITA
opt.player_fatigue	FATICA GIOCATORE
opt.energy_bar	BARRA ENERGIA
opt.music	MUSICA
opt.music_hint	MUSICA MENU AMIGA / PC / PERSONALE
opt.sound	AUDIO
opt.sound_hint	SUONI PARTITA PC O AMIGA
opt.display	SCHERMO
opt.display_hint	F11 CAMBIA  ALT+INVIO SCHERMO INTERO
# OPTION VALUES
val.pitch_none	(NESSUNO)
val.pitch_random	CASUALE
val.opponent_ai	IA
val.opponent_player2	GIOCATORE 2  (WASD)
val.opponent_demo	DEMO  (IA V IA)
val.sound_amiga	AMIGA
val.sound_pc	PC
val.music_custom	PERSONALE
val.music_off	NO
val.length_whole_match_seconds	%dS REALI  (INTERA PARTITA)
val.length_whole_match_minutes	%d MIN REALI  (INTERA PARTITA)
val.display_windowed	FINESTRA
val.display_full_fill	PIENO RIEMPI
val.display_full_integer	PIENO INTERO
# LOCAL MULTIPLAYER
mp.title	MULTIGIOCATORE LOCALE
mp.controls_hint	GIOCATORE 1: FRECCE+SPAZIO   GIOCATORE 2: WASD+SHIFT
mp.start	INIZIA PARTITA 2 GIOCATORI
# PICKERS
pick.continent	CONTINENTE
pick.country	NAZIONE
pick.your_team	LA TUA SQUADRA
pick.all_countries	TUTTE LE NAZIONI
pick.all	TUTTE
pick.select_country	SCEGLI NAZIONE
pick.select_continent	SCEGLI CONTINENTE
pick.select_your_team	SCEGLI LA TUA SQUADRA
pick.home_team	SQUADRA CASA
pick.away_team	SQUADRA OSPITE
pick.nothing_to_choose	NULLA DA SCEGLIERE
pick.item	VOCE
pick.more_down	ALTRO v
# DRAW CEREMONY
draw.title_suffix	SORTEGGIO
# PLAY AGAIN
playagain.title	FINE PARTITA
playagain.play_again	GIOCA ANCORA
playagain.exit	ESCI
# COMPETITIONS HUB
comp.title	COMPETIZIONI
comp.new_league	NUOVO CAMPIONATO
comp.new_cup	NUOVA COPPA
comp.new_tournament	NUOVO TORNEO
comp.preset_competition	COMPETIZIONE PRESET
comp.new_career	NUOVA CARRIERA
comp.load_game	CARICA PARTITA
# LEAGUE / CUP / TOURNAMENT SETUP
setup.league_title	NUOVO CAMPIONATO
setup.cup_title	NUOVA COPPA
setup.tournament_title	NUOVO TORNEO
setup.size	NUMERO
setup.teams_suffix	SQUADRE
setup.entrants	PARTECIPANTI
setup.entrants_same_division	STESSA DIVISIONE
setup.entrants_same_nation	STESSA NAZIONE
setup.entrants_random	CASUALI
setup.rounds	GIRONI
setup.rounds_single	SINGOLO
setup.rounds_double	DOPPIO
setup.groups	GRUPPI
setup.groups_of_4_suffix	GRUPPI DA 4
setup.create_league	CREA CAMPIONATO
setup.create_cup	CREA COPPA
setup.create_tournament	CREA TORNEO
# CAREER SETUP
career.title	NUOVA CARRIERA
career.blurb_seasons	CAMPIONATO E COPPA NAZIONALE OGNI STAGIONE
career.blurb_promotion	VINCI IL CAMPIONATO PER SALIRE, ULTIMO E RETROCEDI
career.start	INIZIA CARRIERA
# MANAGER NAME ENTRY
mgr.title	NOME ALLENATORE
mgr.hint	SCRIVI NOME   SIN/DES TITOLO   INVIO OK   ESC ANNULLA
mgr.title_row	TITOLO
